Campaign name,Day,Delivery status,Delivery level,Attribution setting,Result type,Results,Reach,Frequency,Cost per result,Amount spent (INR),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),In-app purchases,Registrations completed,In-app registrations completed,Website registrations completed,Cost per registration completed,Purchases,Purchases conversion value,In-app purchases conversion value,Cost per purchase,Purchase ROAS (return on ad spend),In-app purchase ROAS (return on ad spend),percentage app,App installs,Mobile app installs,Cost per app install,Reporting starts,Reporting ends
UAE App promotion Campaign 26 June 25,3/18/2026,active,campaign,7-day click,,,5437,1.38109251,,1442.33,7509,192.0801705,71,20.31450704,0.94553203,83,1.10534026,17.37746988,,55,55,,26.22418182,,,,,,,64.78873239,46,46,31.355,3/18/2026,3/18/2026
India IOS app promotion purchase campaign  09/08/25 copy of 9/10/24,3/18/2026,active,campaign,Multiple attribution settings,,,118317,1.38074833,,10227.35,163366,62.60390779,498,20.53684739,0.30483699,1094,0.66966199,9.34858318,,121,121,,84.52355372,,,,,,,32.32931727,161,161,63.52391304,3/18/2026,3/18/2026
New qatar App promotion Campaign 23 sept 25,3/18/2026,active,campaign,7-day click,,,11672,1.46307402,,2161.51,17077,126.5743398,107,20.20102804,0.62657375,136,0.79639281,15.89345588,,45,45,,48.03355556,,,,,,,41.12149533,44,44,49.12522727,3/18/2026,3/18/2026
New Awareness campaign 24/10/25 –duplicate (07/11/25),3/18/2026,active,campaign,7-day click or 1-day view,,,505257,1,,951.11,505257,1.88242815,92,10.33815217,0.01820856,356,0.07045919,2.6716573,,5,4,1,190.222,,,,,,,2.17391304,2,2,475.555,3/18/2026,3/18/2026
New App promotion oman and bahrain Campaign 22 jan 2026,3/18/2026,active,campaign,7-day click,,,14960,1.65661765,,2906.01,24783,117.2582012,132,22.01522727,0.53262317,150,0.6052536,19.3734,,62,62,,46.87112903,,,,,,,37.12121212,49,49,59.30632653,3/18/2026,3/18/2026
Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,3/17/2026,active,campaign,7-day click,In-app purchases,12,69153,1.33243677,497.9016667,5974.82,92142,64.84361095,405,14.75264198,0.43953897,557,0.60450175,10.72678636,12,195,195,,30.64010256,12,4467,4467,497.9016667,0.74763759,0.74763759,41.97530864,170,170,35.146,3/17/2026,3/17/2026
Middle Funnel 2(web visit),3/17/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,9,3932,1.3051882,16.29888889,146.69,5132,28.58339829,17,8.62882353,0.33125487,88,1.7147311,1.66693182,,9,7,2,16.29888889,,,,,,,17.64705882,3,3,48.89666667,3/17/2026,3/17/2026
Middle Funnel Ad 3(fb-insta),3/17/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,34,14218,1.25193417,10.94941176,372.28,17800,20.91460674,76,4.89842105,0.42696629,406,2.28089888,0.91694581,,34,30,4,10.94941176,,,,,,,11.84210526,9,9,41.36444444,3/17/2026,3/17/2026
NF App Conversions,3/17/2026,active,campaign,7-day click or 1-day view,In-app purchases,6,4827,1.71058629,171.1233333,1026.74,8257,124.3478261,436,2.35490826,5.28036817,456,5.5225869,2.25162281,6,31,31,,33.12064516,6,3767,3767,171.1233333,3.66889378,3.66889378,0.2293578,1,1,1026.74,3/17/2026,3/17/2026
Bottom Funnel – Copy,3/17/2026,active,campaign,7-day click or 1-day view,actions:purchase,12,9429,1.5773677,37.145,445.74,14873,29.96974383,34,13.11,0.22860216,125,0.84044914,3.56592,12,15,15,,29.716,12,12112,12112,37.145,27.17279131,27.17279131,11.76470588,4,4,111.435,3/17/2026,3/17/2026
