Campaign name,Day,Delivery status,Delivery level,Attribution setting,Result Type,Results,Reach,Frequency,Cost per result,Amount spent (INR),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),In-app purchases,Registrations completed,In-app registrations completed,Website registrations completed,Cost per registration completed,Purchases,Purchases conversion value,In-app purchases conversion value,Cost per purchase,Purchase ROAS (return on ad spend),App Installs,Cost per App Install,App activiations,In-app sessions,Website landing page views,Instagram follows
Middle Funnel Ad 3(fb-insta),3/24/2026,active,campaign,7-day click or 1-day view,actions:complete_registration,43,12523,1.32092949,7.54348837,324.37,16542,19.60887438,66,4.91469697,0.3989844,298,1.80147503,1.08848993,,43,35,8,7.54348837,,,,,,7,46.33857143,122,122,44,3
NF App Conversions,3/24/2026,active,campaign,7-day click or 1-day view,In-app purchases,6,4909,1.74129151,169.9233333,1019.54,8548,119.2723444,311,3.27826367,3.63827796,393,4.59756668,2.59424936,6,14,13,1,72.82428571,6,10157,10157,169.9233333,9.96233596,5,203.908,2480,2480,,4
Bottom Funnel – Copy,3/24/2026,active,campaign,7-day click or 1-day view,actions:purchase,5,8216,1.6649221,76.524,382.62,13679,27.97134293,32,11.956875,0.23393523,206,1.50595804,1.85737864,5,8,8,,47.8275,5,5596,5596,76.524,14.62547697,6,63.77,3803,3803,11,0
All-Lookalike-manual-registration 27-07-24,3/24/2026,active,campaign,7-day click,,,205053,1.44987881,,15522.87,297302,52.21246409,1162,13.35875215,0.39084836,1592,0.53548244,9.75054648,11,402,402,,38.61410448,11,3470,3470,1411.17,0.22354114,416,37.31459135,1268,1268,3,12
Advantage+ KSA app campaign 01/08/2024 Campaign,3/24/2026,active,campaign,7-day click,In-app purchases,4,17695,1.39429217,587.13,2348.52,24672,95.18968872,220,10.67509091,0.89169909,249,1.00924125,9.43180723,4,148,148,,15.86837838,4,9892.55,9892.55,587.13,4.21224857,116,20.24586207,314,314,,1
Advantage+ app campaign maximize value  27/11/2024 Campaign (Duplicate). Campaign,3/24/2026,active,campaign,7-day click,In-app purchases,8,75560,1.34017999,752.7125,6021.7,101264,59.46535788,452,13.32234513,0.44635803,672,0.66361195,8.9608631,8,224,224,,26.88258929,8,3055,3055,752.7125,0.50733182,207,29.09033816,454,454,2,6
Advantage+ shopping campaign 02/03/2025 Campaign,3/24/2026,active,campaign,Multiple attribution settings,,,27639,2.03621694,,1866.97,56279,33.17347501,295,6.32871186,0.5241742,1463,2.59954868,1.2761244,40,43,43,,43.41790698,41,40765,39767,45.53585366,21.83484469,20,93.3485,16076,16076,110,3
New App IOS KSA promotion campaign,3/24/2026,active,campaign,Multiple attribution settings,In-app purchases,1,12457,1.23352332,2343.21,2343.21,15366,152.4931667,125,18.74568,0.81348432,183,1.19094104,12.80442623,1,28,28,,83.68607143,1,3455.25,3455.25,2343.21,1.47457974,45,52.07133333,1,1,4,1
Advantage+ app Purchase campaign 21/12/2024 Campaign – april duplicate,3/24/2026,active,campaign,7-day click,In-app purchases,31,616864,1.40231883,1163.541935,36069.8,865040,41.69726255,2992,12.05541444,0.34587996,4056,0.46888005,8.89294872,31,1462,1459,3,24.67154583,31,10954,10954,1163.541935,0.30368896,1312,27.49222561,2897,2897,4,21
UAE App promotion Campaign 26 June 25,3/24/2026,active,campaign,7-day click,In-app purchases,2,6965,1.39913855,802.165,1604.33,9745,164.6310929,106,15.13518868,1.0877373,128,1.3134941,12.53382812,2,54,54,,29.70981481,2,5786.23,5786.23,802.165,3.6066333,55,29.16963636,221,221,,0
